07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :- You can meet us at FOSSCON (http://www.fosscon.org) where we get
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :- together with like-minded FOSS enthusiasts for talks and
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :- real-life collaboration.
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :-  
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :- We would like to thank Private Internet Access
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :- (https://www.privateinternetaccess.com/) and the other
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :- organisations that help keep freenode and our other projects
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :- running for their sustained support.
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :-  
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :- In particular we would like to thank the sponsor
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :- of this server, de07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< tails of which can be found above.
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 372 FatalException :-  
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 376 FatalException :End of /MOTD command.
07.07.2015 - 18:15:10	  [ DATAOUT ] 	JOIN #NanoPlayground07.07.2015 - 18:15:10	  [ DATAOUT ] 	JOIN #smf07.07.2015 - 18:15:10	  [ DATAOUT ] 	JOIN #wildphp07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException MODE FatalException :+i
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :This nickname is registered. Please choose a different nickname, or identify via /msg NickServ identify <password>.
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :You are now identified for FatalException.
07.07.2015 - 18:15:10	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 396 FatalException unaffiliated/yoshi2889/bot/fatalexception :is now your hidden host (set by services.)
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #NanoPlayground
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 332 FatalException #NanoPlayground :Test place for bots.
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 333 FatalException #NanoPlayground FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception 1425410979
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 353 FatalException = #NanoPlayground :FatalException SPF|Cloud DenBeiren NanoSector Stiflerrpg sigv Stifler @ChanServ TimTims
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 366 FatalException #NanoPlayground :End of /NAMES list.
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #smf
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 332 FatalException #smf :Simple Machines Forum (SMF) official IRC channel! || SMF 2.1 Beta 1 Released! http://bit.ly/1xItRQl || SMF 2.0.10 and 1.1.21 Released! Please upgrade: http://bit.ly/1GvRVJW || Visit us at http://www.simplemachines.org/ || Online manual: http://bit.ly/I2PEnF || Looking for support? http://bit.ly/1aoqWwZ
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 333 FatalException #smf CoreISP!~coreisp@simplemachines/rootadmin/CoreISP 1432406302
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 353 FatalException = #smf :FatalException idosedthekoolaid +Oldiesmann +Dragooon +Antes KnownSyntax cali Roph NanoSector Metacity Kissaki tvenhola Stu| spossiba paulr realz anonymouse Rymax99 Elsensee Niko^ StupidWeasel stefan RTamas SleePy @ChanServ t eichiro Nicofuma callumacrae
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 366 FatalException #smf :End of /NAMES list.
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #wildphp
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 332 F07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< atalException #wildphp :Welcome to #wildphp. Feel free to idle around. For help, just poke one of us and please stay around; someone will get to you. Get the latest version of the bot from https://github.com/WildPHP/Wild-IRC-Bot
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 333 FatalException #wildphp NanoSector!~Yoshi2889@simplemachines/support/NanoSector 1428415030
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 353 FatalException = #wildphp :FatalException +SPF|Cloud @NanoSector Madgod +amunak Stifler @ChanServ GuntherD1 @TimTims rbxs
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net 366 FatalException #wildphp :End of /NAMES list.
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. MODE #NanoPlayground +o FatalException
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. NOTICE FatalException :[#smf] Welcome to the SimpleMachines.org official IRC channel! No guarantee for support here. Please do !NOT! send private messages to anyone in this channel without asking permission first! Thank you :) Staff are +v. Have a great time! *!*Please speak English in this channel*!*
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :services. 328 FatalException #smf :http://www.simplemachines.org/
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :services. 328 FatalException #wildphp :http://wildphp.com
07.07.2015 - 18:15:16	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. MODE #wildphp +v FatalException
07.07.2015 - 18:15:30	  [ REMOTE ] 	Client 192.168.178.21 connected.07.07.2015 - 18:15:36	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :#socketsend Test
07.07.2015 - 18:15:36	  [ AUTH ] 	Checking authorization for hostname ~Yoshi2889@simplemachines/friend/NanoSector: Authorized07.07.2015 - 18:15:36	  [ DATAOUT ] 	PRIVMSG #smf :Sent the specified message to 1 clients.07.07.2015 - 18:15:43	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :#socketsend Test
07.07.2015 - 18:15:43	  [ AUTH ] 	Checking authorization for hostname ~Yoshi2889@simplemachines/friend/NanoSector: Authorized07.07.2015 - 18:15:43	  [ DATAOUT ] 	PRIVMSG #smf :Sent the specified message to 1 clients.07.07.2015 - 18:16:48	  [ REMOTE ] 	Client 192.168.178.21 connected.07.07.2015 - 18:16:57	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :#socketsend Test
07.07.2015 - 18:16:57	  [ AUTH ] 	Checking authorization for hostname ~Yoshi2889@simplemachines/friend/NanoSector: Authorized07.07.2015 - 18:16:57	  [ LOG ] 	Shutdown function called, closing log...
