10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 372 FatalException :-  
10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 372 FatalException :- In particular we would like to thank the sponsor
10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 372 FatalException :- of this server, details of which can be found10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< above.
10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 372 FatalException :-  
10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 376 FatalException :End of /MOTD command.
10.07.2015 - 01:35:37	  [ DATAOUT ] 	JOIN #NanoPlayground10.07.2015 - 01:35:37	  [ DATAOUT ] 	JOIN #smf10.07.2015 - 01:35:37	  [ DATAOUT ] 	JOIN #wildphp10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException MODE FatalException :+i
10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :This nickname is registered. Please choose a different nickname, or identify via /msg NickServ identify <password>.
10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :You are now identified for FatalException.
10.07.2015 - 01:35:37	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 396 FatalException unaffiliated/yoshi2889/bot/fatalexception :is now your hidden host (set by services.)
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #NanoPlayground
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 332 FatalException #NanoPlayground :Test place for bots.
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 333 FatalException #NanoPlayground FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception 1425410979
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 353 FatalException = #NanoPlayground :FatalException zz_DenBeiren Stiflerrpg Stifler NanoSector SPF|Cloud sigv TimTims @ChanServ
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 366 FatalException #NanoPlayground :End of /NAMES list.
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #smf
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 332 FatalException #smf :Simple Machines Forum (SMF) official IRC channel! || SMF 2.1 Beta 1 Released! http://bit.ly/1xItRQl || SMF 2.0.10 and 1.1.21 Released! Please upgrade: http://bit.ly/1GvRVJW || Visit us at http://www.simplemachines.org/ || Online manual: http://bit.ly/I2PEnF || Looking for support? http://bit.ly/1aoqWwZ
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 333 FatalException #smf CoreISP!~coreisp@simplemachines/rootadmin/CoreISP 1432406302
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 353 FatalException = #smf :FatalException +Antes CoreISP luuuciano ^esc NanoSector Roph KnownSyntax tvenhola Mega9 cali Metacity Kissaki Stu| spossiba paulr realz anonymouse Rymax99 Elsensee Niko^ StupidWeasel stefan RTamas SleePy callumacrae Nicofuma eichiro t @ChanServ
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 366 FatalException #smf :End of /NAMES list.
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #wildphp
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 332 FatalExc10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< eption #wildphp :Welcome to #wildphp. Feel free to idle around. For help, just poke one of us and please stay around; someone will get to you. Get the latest version of the bot from https://github.com/WildPHP/Wild-IRC-Bot
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 333 FatalException #wildphp NanoSector!~Yoshi2889@simplemachines/support/NanoSector 1428415030
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 353 FatalException = #wildphp :FatalException +amunak Stifler @NanoSector +SPF|Cloud Madgod rbxs @TimTims GuntherD1 @ChanServ
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :asimov.freenode.net 366 FatalException #wildphp :End of /NAMES list.
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. NOTICE FatalException :[#smf] Welcome to the SimpleMachines.org official IRC channel! No guarantee for support here. Please do !NOT! send private messages to anyone in this channel without asking permission first! Thank you :) Staff are +v. Have a great time! *!*Please speak English in this channel*!*
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :services. 328 FatalException #smf :http://www.simplemachines.org/
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. MODE #NanoPlayground +o FatalException
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :services. 328 FatalException #wildphp :http://wildphp.com
10.07.2015 - 01:35:42	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. MODE #wildphp +v FatalException
10.07.2015 - 01:35:43	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :not now
10.07.2015 - 01:35:45	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :#stfu
10.07.2015 - 01:35:53	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :or that's not the issue
10.07.2015 - 01:35:53	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :wtf?
10.07.2015 - 01:36:01	  [ WildPHP\Manager-DEBUG ] 	<< :Antes!~Antes@simplemachines/marketing/Antes PRIVMSG #smf :your bot needs a home
10.07.2015 - 01:36:04	  [ WildPHP\Manager-DEBUG ] 	<< :Antes!~Antes@simplemachines/marketing/Antes PRIVMSG #smf :you can test things
10.07.2015 - 01:36:15	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :there is #NanoPlayground where I test shit
10.07.2015 - 01:37:55	  [ WildPHP\Manager-DEBUG ] 	<< PING :asimov.freenode.net
10.07.2015 - 01:37:55	  [ DATAOUT ] 	PONG :asimov.freenode.net
10.07.2015 - 01:40:10	  [ WildPHP\Manager-DEBUG ] 	<< PING :asimov.freenode.net
10.07.2015 - 01:40:10	  [ DATAOUT ] 	PONG :asimov.freenode.net
10.07.2015 - 01:41:20	  [ TIMERMAN ] 	Triggering timer PingTimeoutTimer10.07.2015 - 01:41:42	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :#quit
10.07.2015 - 01:41:42	  [ AUTH ] 	Checking authorization for hostname ~Yoshi2889@simplemachines/friend/NanoSector: Authorized10.07.2015 - 01:41:42	  [ DATAOUT ] 	QUIT :WildPHP <http://wildphp.com/>10.07.2015 - 01:41:42	  [ LOG ] 	Shutdown function called, closing log...
