31.01.2015 - 15:10:02	  [ LOG ] 	Using log file /home/rkerkhof/Documents/Projects/WildPHP-New/logs//log7.log
31.01.2015 - 15:10:03	  [ CONNECT ] 	Connection to server irc.freenode.org:6667 set up with nick phpbot; ready to use.
31.01.2015 - 15:10:03	  [ DATA ] 	:sinisalo.freenode.net NOTICE * :*** Looking up your hostname...
31.01.2015 - 15:10:03	  [ DATA ] 	:sinisalo.freenode.net NOTICE * :*** Checking Ident
31.01.2015 - 15:10:03	  [ DATA ] 	:sinisalo.freenode.net NOTICE * :*** Found your hostname
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net NOTICE * :*** No Ident response
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 001 phpbot :Welcome to the freenode Internet Relay Chat Network phpbot
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 002 phpbot :Your host is sinisalo.freenode.net[91.217.189.42/6667], running version ircd-seven-1.1.3
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 003 phpbot :This server was created Tue Jul 1 2014 at 14:17:05 CEST
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 004 phpbot sinisalo.freenode.net ircd-seven-1.1.3 DOQRSZaghilopswz CFILMPQSbcefgijklmnopqrstvz bkloveqjfI
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 005 phpbot CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQScgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 005 phpbot CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: :are supported by this server
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 005 phpbot EXTBAN=$,ajrxz WHOX CLIENTVER=3.0 SAFELIST ELIST=CTU :are supported by this server
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 251 phpbot :There are 176 users and 86379 invisible on 27 servers
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 252 phpbot 24 :IRC Operators online
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 253 phpbot 10 :unknown connection(s)
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 254 phpbot 50893 :channels formed
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 255 phpbot :I have 8239 clients and 7 servers
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 265 phpbot 8239 12000 :Current local users 8239, max 12000
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 266 phpbot 86555 105669 :Current global users 86555, max 105669
31.01.2015 - 15:10:13	  [ DATA ] 	:sinisalo.freenode.net 250 phpbot :Highest connection count: 12012 (12000 clients) (1643805 connections received)
